OBJECTID,BoroCode,BoroCT,BldgArea,ResArea,Res_pct,TotalPop,LowMod_Population,LoMod_pct,Eligibility,CT_text
453,2,2023502,"17,64,000","16,28,737",0.923320295,"4,570","3,995",0.874179431,CD Eligible,2023502
454,2,2023600,"7,18,583","5,55,391",0.772897494,"2,245","1,790",0.797327394,CD Eligible,2023600
455,2,2023702,"8,10,108","3,01,342",0.371977563,"1,145",845,0.737991266,Ineligible,2023702
456,2,2023703,"18,53,654","14,29,606",0.771236703,"4,730","4,110",0.868921776,CD Eligible,2023703
457,2,2023704,"14,52,693","12,43,479",0.855981959,"3,710","3,460",0.932614555,CD Eligible,2023704
458,2,2023800,"14,30,457","8,06,353",0.563703068,"2,565","1,880",0.73294347,CD Eligible,2023800
459,2,2023900,"30,55,211","24,60,824",0.805451407,"8,210","7,030",0.856272838,CD Eligible,2023900
460,2,2024000,"14,17,195","11,06,665",0.78088407,"3,965","2,885",0.727616646,CD Eligible,2024000
461,2,2024100,"24,70,990","19,85,246",0.803421301,"6,130","5,345",0.871941272,CD Eligible,2024100
462,2,2024300,"22,03,160","19,62,541",0.8907846,"5,745","5,090",0.885987815,CD Eligible,2024300
463,2,2024400,"13,25,241","7,82,491",0.59045185,"2,550","1,070",0.419607843,Ineligible,2024400
464,2,2024501,"18,69,149","16,34,389",0.874402736,"5,040","4,435",0.879960317,CD Eligible,2024501
465,2,2024502,"14,72,435","13,01,311",0.883781627,"3,555","3,160",0.888888889,CD Eligible,2024502
466,2,2024600,"9,28,259","7,43,402",0.800856227,"2,225",845,0.379775281,Ineligible,2024600
467,2,2024700,"8,30,025.08","6,99,889",0.84321428,"1,965","1,645",0.837150127,CD Eligible,2024700
