OBJECTID,BoroCode,BoroCT,BldgArea,ResArea,Res_pct,TotalPop,LowMod_Population,LoMod_pct,Eligibility,CT_text
529,2,2034000,"18,37,608","16,45,879",0.895663819,"4,580","3,420",0.746724891,CD Eligible,2034000
530,2,2034200,"7,81,837","5,19,375",0.664300871,"2,125","1,565",0.736470588,CD Eligible,2034200
531,2,2034300,"8,25,681","7,19,311",0.871173007,"1,530",745,0.486928105,Ineligible,2034300
532,2,2034400,"7,42,502","5,30,566",0.714565079,"2,315","1,130",0.48812095,Ineligible,2034400
533,2,2034500,"20,24,478","17,59,542",0.869133673,"3,435","1,290",0.375545852,Ineligible,2034500
534,2,2034800,"25,91,258","19,92,144",0.768794153,"7,270","5,140",0.707015131,CD Eligible,2034800
535,2,2035000,"8,02,760","6,06,637",0.755689123,"1,780",985,0.553370787,CD Eligible,2035000
536,2,2035100,"26,37,191","14,53,844",0.551285061,"2,285",905,0.396061269,Ineligible,2035100
537,2,2035600,"13,15,559","6,82,167",0.518537747,"2,350",995,0.423404255,Ineligible,2035600
538,2,2035800,"28,39,737","22,19,245",0.781496667,"7,505","3,750",0.499666889,Ineligible,2035800
539,2,2035900,"16,73,684","12,63,823",0.755114466,"1,960","1,715",0.875,CD Eligible,2035900
540,2,2036000,"12,06,700","7,91,333",0.655782713,"2,860","1,300",0.454545455,Ineligible,2036000
541,2,2036100,"26,49,312.21","24,79,274.21",0.935818059,"6,085","5,355",0.880032868,CD Eligible,2036100
542,2,2036300,"29,72,215","25,51,696",0.858516628,"7,945","7,180",0.903713027,CD Eligible,2036300
543,2,2036400,"12,03,036","8,33,472",0.692807198,"2,385","1,295",0.542976939,CD Eligible,2036400
544,2,2036501,"15,62,811","13,10,033",0.838254274,"3,905","3,380",0.865556978,CD Eligible,2036501
545,2,2036502,"9,43,229","8,13,658",0.86263039,"1,890","1,675",0.886243386,CD Eligible,2036502
546,2,2036700,"10,95,969","8,74,943",0.798328237,"2,125","1,710",0.804705882,CD Eligible,2036700
547,2,2036800,"8,41,956","5,32,504",0.632460604,"1,980","1,370",0.691919192,CD Eligible,2036800
548,2,2036901,"12,82,077","7,35,727",0.573855548,"2,255","2,080",0.922394678,CD Eligible,2036901
549,2,2036902,"9,02,741","7,52,909",0.834025485,"2,185","1,915",0.876430206,CD Eligible,2036902
550,2,2037000,"9,51,544","7,17,927",0.754486393,"2,465","1,470",0.596348884,CD Eligible,2037000
551,2,2037100,"21,66,543","17,95,882",0.828915927,"3,900","3,175",0.814102564,CD Eligible,2037100
552,2,2037200,"15,18,889","7,70,860",0.507515691,"2,025","1,320",0.651851852,CD Eligible,2037200
553,2,2037300,"22,07,392","19,16,493",0.868215976,"5,445","4,610",0.846648301,CD Eligible,2037300
554,2,2037400,"17,71,638.19","14,58,504.19",0.823251722,"3,715","3,040",0.818304172,CD Eligible,2037400
555,2,2037504,"28,00,681","14,33,770",0.511936204,"3,485","3,195",0.916786227,CD Eligible,2037504
556,2,2037600,"8,83,226","7,05,214",0.798452491,"2,420","1,635",0.675619835,CD Eligible,2037600
557,2,2037800,"13,64,395","11,52,773",0.844896822,"3,220","2,545",0.790372671,CD Eligible,2037800
558,2,2037900,"27,77,712.03","21,84,625.02",0.786483623,"4,965","4,530",0.912386707,CD Eligible,2037900
559,2,2038000,"21,90,724","17,78,173",0.811682804,"4,690","3,690",0.786780384,CD Eligible,2038000
560,2,2038100,"26,22,734","23,98,917",0.914662715,"6,460","5,390",0.834365325,CD Eligible,2038100
561,2,2038200,"10,10,441","8,34,365",0.825743413,"2,660","1,560",0.586466165,CD Eligible,2038200
562,2,2038301,"15,88,158","13,52,240",0.851451808,"4,215","3,730",0.884934757,CD Eligible,2038301
563,2,2038302,"25,76,433.93","19,33,071.93",0.750289735,"5,845","5,235",0.895637297,CD Eligible,2038302
564,2,2038500,"22,95,484","17,96,911",0.782802668,"4,905","4,605",0.93883792,CD Eligible,2038500
565,2,2038600,"30,71,810","26,11,405",0.850119311,"7,460","4,200",0.563002681,CD Eligible,2038600
566,2,2038700,"22,70,068","11,09,471",0.488739104,"3,255","2,815",0.864823349,Ineligible,2038700
567,2,2038800,"9,38,434","7,93,169",0.845204884,"2,450","1,385",0.565306122,CD Eligible,2038800
568,2,2038900,"20,40,189","16,75,470",0.821232739,"5,760","5,115",0.888020833,CD Eligible,2038900
569,2,2039000,"14,52,098","10,49,577",0.72280039,"3,190","2,360",0.739811912,CD Eligible,2039000
570,2,2039100,"27,61,275","21,90,321",0.793228128,"6,810","5,925",0.870044053,CD Eligible,2039100
571,2,2039200,"8,24,130","6,07,498",0.737138558,"1,705","1,310",0.768328446,CD Eligible,2039200
572,2,2039300,"28,40,911","23,26,562",0.818949274,"8,385","7,435",0.886702445,CD Eligible,2039300
573,2,2039400,"18,67,912","15,62,007",0.836231578,"4,690","3,610",0.769722814,CD Eligible,2039400
574,2,2039500,"32,98,525","16,79,019",0.509021153,"3,785","2,985",0.788639366,CD Eligible,2039500
575,2,2039600,"16,93,306","13,12,351",0.775022943,"4,255","2,960",0.695652174,CD Eligible,2039600
576,2,2039700,"30,65,693","12,09,729",0.394602134,"1,385","1,175",0.848375451,Ineligible,2039700
577,2,2039800,"11,87,118","9,58,574",0.807479964,"2,770","1,385",0.5,Ineligible,2039800
578,2,2039901,"23,53,734","16,97,162",0.721050892,"5,155","4,360",0.845780795,CD Eligible,2039901
579,2,2039902,"22,23,977","15,66,294",0.704276168,"5,135","4,365",0.850048685,CD Eligible,2039902
580,2,2040100,"24,13,771","16,30,900",0.675664759,"5,065","4,370",0.86278381,CD Eligible,2040100
581,2,2040302,"16,16,515","15,63,579",0.96725301,"4,155","3,670",0.883273165,CD Eligible,2040302
582,2,2040303,"17,88,160","16,93,105",0.946842005,"4,630","3,760",0.812095032,CD Eligible,2040303
583,2,2040304,"15,84,503","14,90,283",0.940536559,"4,230","3,665",0.86643026,CD Eligible,2040304
584,2,2040400,"15,12,236","9,96,990",0.659282017,"2,820","1,900",0.673758865,CD Eligible,2040400
585,2,2040501,"16,97,470","13,86,986",0.81709014,"4,420","3,460",0.78280543,CD Eligible,2040501
586,2,2040502,"27,65,472","25,35,600",0.916877842,"5,925","4,660",0.78649789,CD Eligible,2040502
587,2,2040600,"15,01,271","11,64,838",0.77590122,"3,620","2,460",0.679558011,CD Eligible,2040600
588,2,2040701,"13,58,957","12,86,725",0.946847472,"3,190","2,685",0.84169279,CD Eligible,2040701
589,2,2040702,"30,35,531","25,89,911",0.853198666,"7,755","6,630",0.854932302,CD Eligible,2040702
590,2,2040800,"15,55,921","14,16,251",0.910233232,"4,555","3,855",0.846322722,CD Eligible,2040800
591,2,2040900,"50,50,135","16,74,883",0.331651134,"3,045","1,830",0.600985222,Ineligible,2040900
592,2,2041100,"17,64,472","13,83,109",0.783865655,"2,910","1,880",0.64604811,CD Eligible,2041100
593,2,2041300,"35,40,107","33,31,732",0.941138785,"7,460","5,035",0.674932976,CD Eligible,2041300
594,2,2041400,"26,21,110","17,11,522",0.652976029,"4,660","2,200",0.472103004,Ineligible,2041400
595,2,2041500,"26,85,810","24,77,899",0.922589089,"5,880","4,730",0.804421769,CD Eligible,2041500
596,2,2041800,"16,79,453","11,79,995",0.702606742,"4,275","3,100",0.725146199,CD Eligible,2041800
597,2,2041900,"36,13,202","27,41,615",0.758777118,"6,890","5,150",0.747460087,CD Eligible,2041900
598,2,2042000,"24,00,734","12,83,780",0.534744791,"3,370","2,635",0.78189911,CD Eligible,2042000
599,2,2042100,"45,50,009","26,56,386",0.583819944,"5,575","4,325",0.775784753,CD Eligible,2042100
600,2,2042200,"13,09,988","10,61,173",0.810063146,"3,560","2,385",0.66994382,CD Eligible,2042200
601,2,2042300,"17,21,948","15,04,476",0.873705826,"4,475","3,260",0.72849162,CD Eligible,2042300
602,2,2042400,"9,69,301","6,93,350",0.71530928,"2,445","1,410",0.576687117,CD Eligible,2042400
603,2,2042500,"35,26,251.85","24,98,129",0.708437487,"6,130","5,195",0.847471452,CD Eligible,2042500
604,2,2042600,"25,56,114","21,56,898",0.843819172,"6,685","4,050",0.605833957,CD Eligible,2042600
605,2,2042800,"8,47,250","6,48,739",0.765699616,"2,025",955,0.471604938,Ineligible,2042800
606,2,2042901,"13,74,877.15","13,04,257",0.948635302,"4,055","3,285",0.810110974,CD Eligible,2042901
607,2,2042902,"18,07,739","15,46,019",0.855222463,"4,505","3,720",0.825749168,CD Eligible,2042902
608,2,2043000,"11,05,417","9,54,598",0.863563705,"3,320","1,640",0.493975904,Ineligible,2043000
609,2,2043100,"45,80,725.95","35,55,769.95",0.776245946,"9,870","8,475",0.858662614,CD Eligible,2043100
610,2,2043400,"17,25,654","11,60,139",0.672289462,"3,835","2,950",0.769230769,CD Eligible,2043400
611,2,2043500,"7,03,910.05","4,76,140.05",0.676421725,50,35,0.7,CD Eligible,2043500
612,2,2043600,"7,93,924","6,44,022",0.811188476,"2,245","1,275",0.567928731,CD Eligible,2043600
613,2,2044200,"14,46,292","11,78,353",0.81474073,"4,045","2,685",0.663782447,CD Eligible,2044200
614,2,2044400,"14,92,085","12,68,974",0.850470315,"3,535","1,905",0.538896747,CD Eligible,2044400
615,2,2044800,"7,65,802","6,58,099",0.859359208,"2,180",790,0.362385321,Ineligible,2044800
616,2,2044901,"11,16,125","10,26,380",0.91959234,"1,465",675,0.460750853,Ineligible,2044901
617,2,2044902,"11,45,306","9,78,404",0.854273007,"2,010",745,0.370646766,Ineligible,2044902
618,2,2045101,"11,56,659","9,48,628",0.820144917,"1,530",680,0.444444444,Ineligible,2045101
619,2,2045102,"12,17,157","10,50,697",0.863238678,"1,885",670,0.355437666,Ineligible,2045102
620,2,2045600,"19,00,766.04","11,62,039.04",0.61135301,"3,270","1,080",0.330275229,Ineligible,2045600
621,2,2045800,"21,47,451.20","19,84,940.49",0.92432391,"5,245","5,210",0.993326978,CD Eligible,2045800
622,2,2046000,"15,51,658.84","9,93,313.55",0.640162337,"2,575","2,140",0.831067961,CD Eligible,2046000
623,2,2046201,"2,09,15,399.68","1,35,02,016.71",0.645553846,"27,620","15,755",0.570419986,CD Eligible,2046201
624,2,2046202,"43,90,045.89","25,79,770.89",0.587640985,"8,615","5,735",0.665699362,CD Eligible,2046202
625,2,2048400,"23,72,136","12,42,271",0.523692992,"4,340","1,825",0.420506912,Ineligible,2048400
626,2,2050400,"2,84,700.96","2,529.96",0.008886377,65,45,0.692307692,Ineligible,2050400
627,2,2051600,"32,07,070","24,27,053",0.756782047,"4,420","1,145",0.259049774,Ineligible,2051600
628,3,3000100,"49,25,687.69","29,93,216",0.607674743,"3,795","1,360",0.358366271,Ineligible,3000100
629,3,3000200,"27,18,402","2,69,827",0.099259418,"1,830","1,540",0.841530055,Ineligible,3000200
630,3,3000301,"37,18,642.66","26,13,122",0.702708552,"3,350",785,0.234328358,Ineligible,3000301
631,3,3000501,"28,75,815","21,58,905",0.750710668,"3,590","1,130",0.314763231,Ineligible,3000501
632,3,3000502,"29,34,558","15,44,016",0.526149424,"2,485",845,0.340040241,Ineligible,3000502
633,3,3000700,"34,44,040.06","27,44,605",0.796914366,"3,995",730,0.182728411,Ineligible,3000700
634,3,3000900,"74,40,951","27,93,359",0.375403493,"3,550",770,0.216901408,Ineligible,3000900
635,3,3001100,"80,14,776","8,07,594",0.10076314,965,180,0.186528497,Ineligible,3001100
636,3,3001300,"53,90,026","11,48,452",0.213069844,"1,640",350,0.213414634,Ineligible,3001300
637,3,3001500,"1,17,43,848","53,35,574",0.454329279,"5,715","2,790",0.488188976,Ineligible,3001500
639,3,3002000,"12,75,828","3,24,747",0.254538229,"1,365",700,0.512820513,Ineligible,3002000
640,3,3002100,"85,69,119.96","36,51,051.62",0.426070779,"4,070",435,0.106879607,Ineligible,3002100
641,3,3002200,"36,27,604","14,42,602",0.397673506,"4,740","3,560",0.751054852,Ineligible,3002200
642,3,3002300,"15,96,247","13,35,300",0.836524673,"4,345","3,760",0.865362486,CD Eligible,3002300
643,3,3002901,"12,57,703","8,98,055",0.714043777,"3,050","2,780",0.91147541,CD Eligible,3002901
644,3,3003000,"8,52,513","7,81,129",0.91626638,"1,840",885,0.480978261,Ineligible,3003000
645,3,3003100,"38,30,887","17,73,896",0.463050985,"1,860",600,0.322580645,Ineligible,3003100
646,3,3003300,"45,19,313","21,76,251",0.481544651,"3,155","1,220",0.386687797,Ineligible,3003300
647,3,3003400,"17,78,647.51","14,78,081",0.83101401,"3,020","1,280",0.42384106,Ineligible,3003400
648,3,3003500,"39,17,147","12,47,110",0.318372019,"1,535",655,0.426710098,Ineligible,3003500
649,3,3003600,"20,24,876","19,38,174",0.957181576,"4,445","1,740",0.391451069,Ineligible,3003600
650,3,3003700,"79,43,385","32,43,322",0.408304772,980,265,0.270408163,Ineligible,3003700
651,3,3003800,"9,08,607.87","8,44,203",0.92911698,"1,555",520,0.334405145,Ineligible,3003800
652,3,3003900,"23,77,128","10,29,467",0.433071757,"2,400",880,0.366666667,Ineligible,3003900
653,3,3004100,"28,16,108","16,75,174",0.594854317,"3,075",545,0.177235772,Ineligible,3004100
654,3,3004300,"31,17,607","18,13,168",0.581589662,"3,090",915,0.296116505,Ineligible,3004300
655,3,3004400,"17,05,742.30","15,88,586",0.93131653,"2,415",710,0.293995859,Ineligible,3004400
656,3,3004500,"24,98,373","19,35,161",0.774568489,"3,305",650,0.19667171,Ineligible,3004500
657,3,3004600,"11,73,261.35","7,83,472",0.667772786,"1,420",230,0.161971831,Ineligible,3004600
658,3,3004700,"12,17,078.94","7,90,547",0.649544556,"1,890",515,0.272486772,Ineligible,3004700
659,3,3004900,"15,67,625","10,27,083",0.655184116,"2,065",430,0.208232446,Ineligible,3004900
660,3,3005000,"14,64,446.63","14,07,960",0.961428004,"2,500",615,0.246,Ineligible,3005000
661,3,3005100,"14,38,693","10,43,661",0.725423005,"2,145",710,0.331002331,Ineligible,3005100
662,3,3005201,"11,59,438.75","6,85,531",0.591261074,"1,695",800,0.471976401,Ineligible,3005201
663,3,3005202,"16,13,568.62","15,90,884",0.985941335,"2,435",825,0.338809035,Ineligible,3005202
664,3,3005300,"82,76,629.88","12,27,698",0.14833308,"2,410","1,330",0.55186722,Ineligible,3005300
665,3,3005400,"18,62,252.12","17,47,213",0.938225808,"3,405","1,765",0.51835536,CD Eligible,3005400
666,3,3005601,"16,46,913.25","15,61,393",0.948072402,"2,485","1,180",0.474849095,Ineligible,3005601
667,3,3005602,"9,94,314.96","8,53,883",0.858765114,"1,725",865,0.501449275,Ineligible,3005602
668,3,3005800,"19,80,894","14,86,263",0.750299107,"3,330","1,785",0.536036036,CD Eligible,3005800
669,3,3005900,"21,98,697","6,16,377",0.2803374,"1,405",785,0.558718861,Ineligible,3005900
670,3,3006000,"15,16,934","11,27,641",0.743368532,"2,715","1,210",0.445672192,Ineligible,3006000
671,3,3006200,"15,34,194","12,38,019",0.806950751,"2,795","1,640",0.586762075,CD Eligible,3006200
672,3,3006300,"12,37,912","8,71,284",0.703833552,"1,955",600,0.306905371,Ineligible,3006300
673,3,3006400,"18,58,228","15,49,983",0.834118849,"3,245","1,510",0.465331279,Ineligible,3006400
674,3,3006500,"28,23,723","24,36,284",0.862791428,"5,405","1,495",0.276595745,Ineligible,3006500
675,3,3006600,"18,75,323","15,14,107",0.807384648,"3,780","1,910",0.505291005,Ineligible,3006600
676,3,3006700,"21,41,522","17,78,291",0.830386519,"3,800",740,0.194736842,Ineligible,3006700
677,3,3006800,"23,70,654","16,40,122",0.691843685,"5,265","3,890",0.738841406,CD Eligible,3006800
678,3,3006900,"23,54,531","17,01,519",0.722657294,"3,575",795,0.222377622,Ineligible,3006900
679,3,3007000,"13,53,588","10,08,459",0.745026552,"2,440","1,520",0.62295082,CD Eligible,3007000
680,3,3007100,"19,34,416","15,21,331",0.78645493,"5,005","3,325",0.664335664,CD Eligible,3007100
681,3,3007200,"5,64,342","4,83,203",0.856223708,"2,335","2,100",0.899357602,CD Eligible,3007200
682,3,3007400,"17,73,787","12,75,905",0.719311281,"6,045","4,770",0.789081886,CD Eligible,3007400
683,3,3007500,"28,89,172","21,19,446",0.733582494,"4,760","1,065",0.223739496,Ineligible,3007500
684,3,3007600,"15,92,680","10,91,209",0.685140141,"4,770","3,990",0.836477987,CD Eligible,3007600
685,3,3007700,"36,02,356","25,33,040",0.703162042,"4,380",955,0.21803653,Ineligible,3007700
686,3,3007800,"17,19,834","12,08,211",0.702516057,"5,475","4,385",0.800913242,CD Eligible,3007800
687,3,3008000,"15,42,837","9,48,975",0.615084419,"4,370","2,910",0.66590389,CD Eligible,3008000
688,3,3008200,"15,79,982","10,55,709",0.668177865,"4,140","3,275",0.791062802,CD Eligible,3008200
689,3,3008400,"21,72,422","8,25,359",0.379925723,"3,860","2,480",0.642487047,Ineligible,3008400
690,3,3008500,"23,49,569.01","22,89,661.01",0.974502558,"6,920","6,310",0.911849711,CD Eligible,3008500
691,3,3008600,"62,035",0,0,0,0,,Ineligible,3008600
692,3,3008800,"11,86,052","9,02,093",0.760584696,"3,400","2,525",0.742647059,CD Eligible,3008800
693,3,3009000,"9,90,236","6,89,204",0.695999741,"3,225","2,675",0.829457364,CD Eligible,3009000
694,3,3009200,"16,86,386","13,91,088",0.824892996,"5,405","4,610",0.852913969,CD Eligible,3009200
695,3,3009400,"16,54,847","14,33,500",0.866243224,"5,830","4,470",0.766723842,CD Eligible,3009400
696,3,3009600,"17,38,564","14,14,315",0.813496081,"5,950","4,800",0.806722689,CD Eligible,3009600
697,3,3009800,"18,85,538","14,10,013",0.747804075,"8,180","7,330",0.89608802,CD Eligible,3009800
698,3,3010000,"18,96,022","15,16,793",0.799987025,"6,300","5,465",0.867460317,CD Eligible,3010000
699,3,3010100,"27,12,419","10,87,075",0.400776945,"4,395","3,000",0.682593857,Ineligible,3010100
700,3,3010200,"18,73,657","11,80,306",0.629947744,"5,245","4,550",0.86749285,CD Eligible,3010200
701,3,3010400,"21,19,610","14,35,264",0.677135888,"5,940","4,645",0.781986532,CD Eligible,3010400
702,3,3010600,"17,67,474","12,82,528",0.725627647,"5,750","4,860",0.845217391,CD Eligible,3010600
703,3,3010800,"17,51,085","12,51,343",0.714610085,"4,265","3,445",0.807737397,CD Eligible,3010800
704,3,3011000,"10,72,665","6,13,109",0.571575469,"2,700","2,325",0.861111111,CD Eligible,3011000
705,3,3011200,"22,35,762","19,65,613",0.87916916,"6,520","5,270",0.808282209,CD Eligible,3011200
706,3,3011400,"28,96,380","12,29,215",0.424397006,"3,885","3,125",0.804375804,Ineligible,3011400
707,3,3011600,"14,79,364","12,76,982",0.863196617,"4,255","3,180",0.747356052,CD Eligible,3011600
708,3,3011700,"20,36,582","11,37,556",0.558561354,"2,670","1,605",0.601123596,CD Eligible,3011700
709,3,3011800,"16,60,304","6,67,249",0.401883631,"2,130","1,710",0.802816901,Ineligible,3011800
710,3,3011900,"46,10,912","5,58,029",0.121023563,"1,590",755,0.474842767,Ineligible,3011900
711,3,3012000,"13,21,387","2,78,231",0.210559813,"1,255",910,0.725099602,Ineligible,3012000
712,3,3012100,"13,77,321","7,74,885",0.562603053,"1,805",640,0.354570637,Ineligible,3012100
713,3,3012200,"18,53,938","13,30,527",0.717676104,"5,695","5,040",0.884986831,CD Eligible,3012200
714,3,3012600,"11,01,560","8,43,952",0.766142561,"2,765","2,030",0.734177215,CD Eligible,3012600
715,3,3012700,"22,34,385","16,19,814",0.724948476,"3,875","2,535",0.654193548,CD Eligible,3012700
716,3,3012801,"7,59,471","6,39,605",0.842171722,"2,095","1,420",0.677804296,CD Eligible,3012801
717,3,3012901,"16,17,694.22","9,82,368",0.607264332,"2,575","1,445",0.561165049,CD Eligible,3012901
718,3,3012902,"25,92,082.30","15,14,071",0.584113784,"2,050",735,0.358536585,Ineligible,3012902
719,3,3013000,"22,17,514","17,09,718",0.771006632,"5,200","3,065",0.589423077,CD Eligible,3013000
720,3,3013100,"21,47,603.72","17,04,081",0.793480186,"4,225","1,180",0.279289941,Ineligible,3013100
721,3,3013200,"8,50,658","7,14,076",0.839439587,"2,395","1,470",0.613778706,CD Eligible,3013200
722,3,3013300,"21,80,125","18,36,188",0.84223978,"4,675",935,0.2,Ineligible,3013300
723,3,3013400,"21,68,399","15,92,647",0.734480601,"3,855","1,700",0.440985733,Ineligible,3013400
724,3,3013500,"20,62,805","16,14,741",0.782788969,"3,690",835,0.226287263,Ineligible,3013500
725,3,3013600,"19,88,603","17,33,148",0.871540473,"3,815","1,850",0.484927916,Ineligible,3013600
726,3,3013700,"19,98,453","14,22,962",0.712031757,"3,135","1,250",0.398724083,Ineligible,3013700
727,3,3013800,"18,14,450","14,19,787",0.782488908,"3,415","2,030",0.59443631,CD Eligible,3013800
728,3,3013900,"19,04,681","14,39,388",0.755710799,"3,635","1,370",0.376891334,Ineligible,3013900
729,3,3014000,"10,30,084","9,11,632",0.885007436,"1,840",810,0.440217391,Ineligible,3014000
730,3,3014100,"22,28,956","16,37,342",0.734577982,"3,925","1,740",0.443312102,Ineligible,3014100
731,3,3014200,"16,15,535","13,45,899",0.833098014,"3,105","1,940",0.624798712,CD Eligible,3014200
732,3,3014300,"20,38,046","13,89,290",0.68167745,"3,610","1,790",0.495844875,Ineligible,3014300
733,3,3014500,"20,54,713","15,25,952",0.742659437,"4,405","2,585",0.586833144,CD Eligible,3014500
734,3,3014700,"10,39,837","7,66,920",0.737538672,"2,105",910,0.432304038,Ineligible,3014700
735,3,3014800,"7,28,244","6,09,537",0.836995567,"1,255",585,0.466135458,Ineligible,3014800
736,3,3014900,"26,44,509","20,07,655",0.759178736,"5,655","1,650",0.291777188,Ineligible,3014900
737,3,3015000,"8,27,218","6,40,155",0.77386493,"1,635",420,0.256880734,Ineligible,3015000
738,3,3015100,"20,45,925","16,98,179",0.830029938,"4,265",980,0.229777257,Ineligible,3015100
739,3,3015200,"15,34,225.47","8,39,326",0.547068222,"2,405","1,090",0.453222453,Ineligible,3015200
740,3,3015300,"28,03,765","11,84,319",0.42240309,"2,815",525,0.186500888,Ineligible,3015300
741,3,3015400,"16,570",0,0,0,0,,Ineligible,3015400
742,3,3015500,"22,47,950","17,00,748",0.756577326,"3,675",665,0.180952381,Ineligible,3015500
743,3,3015700,"27,73,711","21,62,485",0.779636018,"4,275","1,035",0.242105263,Ineligible,3015700
744,3,3015900,"34,87,566","29,20,199",0.837317201,"5,140","1,080",0.210116732,Ineligible,3015900
745,3,3016000,"25,91,951","15,36,461",0.592781654,"4,475","2,450",0.547486034,CD Eligible,3016000
746,3,3016100,"23,25,206","16,80,899",0.722903261,"3,110","1,115",0.3585209,Ineligible,3016100
747,3,3016200,"14,35,198.85","9,67,964",0.674445914,"2,545","1,190",0.467583497,Ineligible,3016200
748,3,3016300,"24,56,486","19,58,469",0.797264466,"3,125","1,035",0.3312,Ineligible,3016300
749,3,3016400,"20,74,200","7,79,277",0.375700029,635,265,0.417322835,Ineligible,3016400
750,3,3016500,"36,53,612","32,75,545",0.8965224,"5,690",970,0.170474517,Ineligible,3016500
751,3,3016600,"13,63,895","11,16,915",0.818915679,"2,080",900,0.432692308,Ineligible,3016600
752,3,3016700,"25,30,504","20,78,873",0.821525277,"5,270","1,425",0.270398482,Ineligible,3016700
753,3,3016800,"7,62,520","6,53,886",0.857532917,"1,800",475,0.263888889,Ineligible,3016800
754,3,3016900,"23,02,885","19,20,732",0.834054675,"4,775","1,855",0.388481675,Ineligible,3016900
755,3,3017000,"14,47,558","11,08,232",0.765587286,"4,115","1,785",0.433778858,Ineligible,3017000
756,3,3017100,"19,64,955","16,96,257",0.863254884,"3,940","1,000",0.253807107,Ineligible,3017100
757,3,3017200,"12,78,653","9,60,715",0.751349271,"4,030","1,785",0.44292804,Ineligible,3017200
758,3,3017400,"7,50,729","6,51,020",0.867183764,"1,910",865,0.452879581,Ineligible,3017400
759,3,3017500,"92,440","6,525",0.070586326,0,0,,Ineligible,3017500
760,3,3017600,"8,69,117","7,72,030",0.88829237,"2,325","1,240",0.533333333,CD Eligible,3017600
761,3,3017700,"8,83,742",0,0,0,0,,Ineligible,3017700
762,3,3017800,"13,41,560","8,87,555",0.661584275,"3,025","2,090",0.690909091,CD Eligible,3017800
763,3,3017900,"19,37,261","15,72,913",0.81192622,"3,755","2,355",0.627163782,CD Eligible,3017900
764,3,3018000,"13,05,029","8,94,561",0.685472124,"3,515","2,420",0.688477952,CD Eligible,3018000
765,3,3018100,"24,27,544","19,66,360",0.810020333,"3,415","1,170",0.342606149,Ineligible,3018100
766,3,3018200,"13,41,439","9,36,630",0.698227799,"3,600","2,515",0.698611111,CD Eligible,3018200
767,3,3018300,"18,39,407","13,48,065",0.732880216,"2,690",680,0.252788104,Ineligible,3018300
768,3,3018400,"8,97,875","7,20,864",0.802855631,"2,550","1,075",0.421568627,Ineligible,3018400
769,3,3018501,"12,94,308.29","12,48,723.29",0.964780416,"4,370","3,815",0.872997712,CD Eligible,3018501
770,3,3018600,"7,46,396","7,23,783",0.96970375,"2,070",880,0.425120773,Ineligible,3018600
771,3,3018700,"7,40,262","5,52,288",0.746070986,"1,320",640,0.484848485,Ineligible,3018700
772,3,3018800,"11,42,746","10,12,361",0.885902029,"2,875","1,440",0.500869565,Ineligible,3018800
773,3,3019000,"18,99,778","14,96,291",0.787613605,"5,125","3,680",0.71804878,CD Eligible,3019000
774,3,3019100,"22,86,363","13,16,948",0.576001274,"2,810","1,430",0.508896797,Ineligible,3019100
775,3,3019200,"14,39,730","7,90,786",0.549259931,"3,375","2,685",0.795555556,CD Eligible,3019200
776,3,3019300,"43,14,923","30,13,574",0.698407364,"4,220","2,225",0.527251185,CD Eligible,3019300
777,3,3019400,"13,70,851","9,14,765",0.667297175,"3,750","2,665",0.710666667,CD Eligible,3019400
778,3,3019500,"23,98,351","19,93,217",0.831078103,"4,170","1,460",0.350119904,Ineligible,3019500
779,3,3019600,"18,03,537","13,06,406",0.724357748,"4,985","3,720",0.746238716,CD Eligible,3019600
780,3,3019700,"24,85,374","18,96,228",0.762954791,"3,485","1,160",0.332855093,Ineligible,3019700
781,3,3019800,"8,63,311","6,99,705",0.810490078,"1,980","1,025",0.517676768,CD Eligible,3019800
782,3,3019900,"33,55,815","20,43,894",0.609060392,"2,810","1,160",0.412811388,Ineligible,3019900
783,3,3020000,"9,67,087","7,93,721",0.820733812,"2,215","1,310",0.591422122,CD Eligible,3020000
784,3,3020100,"22,90,915","18,91,818",0.825791441,"3,890","1,430",0.367609254,Ineligible,3020100
785,3,3020200,"8,22,679","7,67,916",0.933433332,"2,135",650,0.304449649,Ineligible,3020200
786,3,3020300,"13,80,432","9,08,456",0.658095437,"1,645",625,0.37993921,Ineligible,3020300
787,3,3020400,"8,62,786","8,00,963",0.92834492,"1,950",945,0.484615385,Ineligible,3020400
788,3,3020500,"20,50,560","14,31,730",0.698214146,"2,735",995,0.363802559,Ineligible,3020500
789,3,3020600,"13,35,773","9,20,454",0.689079656,"2,700",800,0.296296296,Ineligible,3020600
790,3,3020700,"25,67,042","22,68,279",0.88361585,"4,535","1,645",0.362734289,Ineligible,3020700
791,3,3020800,"13,03,155","10,31,580",0.79160192,"3,270","2,100",0.642201835,CD Eligible,3020800
792,3,3021000,"14,26,636","12,02,773",0.843083309,"4,950","3,455",0.697979798,CD Eligible,3021000
793,3,3021100,"16,22,244","9,42,766",0.581149322,"1,350","1,025",0.759259259,CD Eligible,3021100
794,3,3021200,"15,70,869","11,67,060",0.742939099,"5,180","4,350",0.83976834,CD Eligible,3021200
795,3,3021300,"29,19,332","19,94,415",0.683175124,"4,295","2,790",0.649592549,CD Eligible,3021300
796,3,3021400,"10,58,621","6,12,153",0.578255107,"2,440","1,895",0.776639344,CD Eligible,3021400
